id,restaurant,address,votes,link,Zipcode
92,Laimer Platz,Laimer Platz,0,https://www.muenchen.de/shopping/orte/120310.html,80689
93,Leonrodplatz,Leonrodplatz,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/120280.html,80637
94,Lorettoplatz,Lorettoplatz,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/120276.html,81377
95,Mangfallplatz,Mangfallplatz,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/120286.html,81547
96,Mariahilfplatz,Mariahilfplatz,4,https://www.muenchen.de/shopping/orte/260276.html,81541
97,Martini-Park,Provinostr. 52,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/1213970.html,86153
98,Max-Lebsche-Platz,Max-Lebsche-Platz 1,5,https://www.muenchen.de/shopping/orte/1247925.html,81377
99,Max-Weber-Platz,Max-Weber-Platz 1,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/120322.html,81675
100,Maximiliansplatz,Maximiliansplatz,2,https://www.muenchen.de/sehenswuerdigkeiten/orte/120271.html,80333
101,Messeplatz,Schalkhäuser Str.,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/1213998.html,91522
102,Moosacher St.-Martins-Platz,St.-Martins-Platz,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/1224771.html,80992
103,Pariser Platz,Pariser Platz 1,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/240103.html,81667
104,Partnachplatz,Partnachplatz 1,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/120305.html,81373
105,Parzivalplatz,Parzivalplatz,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/120289.html,80804
106,Pasinger Marienplatz,Planegger Str. 1,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/120330.html,81241
107,Petersplatz,Petersplatz 1,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/240105.html,80331
108,Pfanzeltplatz,Pfanzeltplatz 1,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/1245220.html,81737
109,Prinzregentenplatz,Prinzregentenplatz 1,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/240200.html,81675
110,Rainer-Werner-Fassbinder-Platz,Rainer-Werner-Fassbinder-Platz 1,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/120300.html,80636
111,Rathausplatz,,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/1214011.html,82194
112,Ratzingerplatz,Ratzingerplatz,5,https://www.muenchen.de/shopping/orte/120272.html,81379
113,Regierungsplatz,Regierungsplatz,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/1197035.html,84028
114,Roecklplatz,Isartalstr. 26,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/120335.html,80469
115,Romanplatz,Romanplatz 1,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/240201.html,80639
116,Rosa-Luxemburg-Platz,Rosa-Luxemburg-Platz 1,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/120284.html,80637
117,Rosenheimer Platz,Rosenheimer Platz,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/120317.html,81669
118,Rosenkavalierplatz,Rosenkavalierplatz 1,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/240199.html,81925
119,Salinplatz,Salinplatz,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/1196882.html,83022
120,Salvatorplatz,,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/250566.html,80333
121,Sankt-Pauls-Platz,Sankt-Pauls-Platz 1,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/120343.html,80336
122,Scheidplatz,Scheidplatz,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/120296.html,80804
123,Schellenbruckstr.,Schellenbruckstr.,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/1214001.html,84307
124,Schweizer Platz,Schweizer Platz 1,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/120287.html,81475
125,Schyrenplatz,Schyrenplatz 1,0,https://www.muenchen.de/shopping/orte/120278.html,81543
126,Sendlinger-Tor-Platz,Sendlinger-Tor-Platz,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/213696.html,80336
127,St. Johannes-Str.,St. Johannes-Str.,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/1214016.html,86343
128,St.-Anna-Platz,St.-Anna-Platz 1,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/240106.html,80538
129,St.-Quirin-Platz,St.-Quirin-Platz,5,https://www.muenchen.de/sehenswuerdigkeiten/orte/120277.html,81547
130,Stadtplatz,Stadtplatz 27,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/1196942.html,94474
131,Stadtplatz,Stadtplatz,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/1197493.html,84307
132,Stadtplatz,Stadtplatz,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/1197562.html,93333
133,Steubenplatz,Steubenplatz 1,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/120281.html,80639
134,Thalkirchner Platz,Thalkirchner Platz,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/1247891.html,81379
135,Viktoriaplatz,Viktoriaplatz,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/1297064.html,80803
136,Vogelweideplatz,Vogelweideplatz 1,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/120293.html,81677
137,Volksfestplatz,Herzog-Ludwig-Straße,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/1196651.html,93333
138,Volksfestplatz,Volksfestplatz,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/1214002.html,85435
139,Wallensteinplatz,Wallensteinplatz,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/120273.html,80807
140,Wedekindplatz,Feilitzschstr.,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/1248354.html,80802
141,Wettersteinplatz,Wettersteinplatz,0,https://www.muenchen.de/shopping/orte/120312.html,81547
142,Willy-Brandt-Platz,Willy-Brandt-Platz 1,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/1223074.html,81829
